"name","date","add","del","tot"
"Miguel Ángel Pascual Collar",2021-05-29 01:11:52,2792,495,3287
"DiegoRPeinado",2021-05-28 22:06:13,3,0,3
"pmartinezconde",2021-05-28 21:50:09,19,5,24
