"name","date","add","del","tot"
"Jorgebpinedo",2021-05-28 20:04:52,127191,4798,131989
"LuisMiguelMuro",2021-05-28 13:22:37,1994,120436,122430
"luispmdelmazo",2021-05-28 12:48:08,697,1469,2166
"abrahampumarada",2021-04-06 06:03:06,125,21,146
