"name","date","add","del","tot"
"Marco Antonio Pinto Tapia",2021-05-28 22:23:57,4418,4255,8673
"Marpiki11",2021-05-28 22:04:43,492,336,828
"Alejandro-Montero-Porras",2021-05-26 09:03:11,1754,729,2483
"Marco Gaspar",2021-04-25 15:29:49,5,4,9
