"name","date","add","del","tot"
"Samuuu-r",2021-05-27 21:55:23,658,8,666
"manuelpenazambrano",2021-03-17 13:15:45,1,1,2
"ismaelsaiz",2021-03-16 22:46:52,3,3,6
