P1,P2,P3,P4
10,9,10,10
9,7,10,8
7,5,7,7
6,4,7,5
8,6,7,8
8,8,10,10
8,8,8,8
9,6,10,9
8,6,10,10
8,6,8,7
5,1,8,7
7,3,10,7
6,3,7,8
6,10,10,10
9,7,9,9
7,6,8,6
8,4,7,6
8,6,9,8
9,7,10,10
3,2,4,3
5,3,3,4
5,9,7,9
,4,9,8
8,7,9,8
7,6,8,8
2,1,1,1
9,5,9,10
