"name","date","add","del","tot"
"Alvarorico",2021-05-28 14:21:16,734,178,912
"PabloSanchz",2021-05-06 14:50:14,87,13,100
"javierrobi",2021-05-05 09:32:08,34,1,35
"CarlosMiguelMartin",2021-03-30 12:17:13,0,0,0
