"name","date","add","del","tot"
"jhuirse",2021-05-28 21:01:27,111,53,164
"antoniogmontes",2021-05-20 12:39:40,59,32,91
"Sergio Rodríguez Sanz",2021-05-20 11:39:00,687,6,693
"j-riveiro",2021-05-01 14:17:57,56,6,62
"j-gasco",2021-04-15 21:43:01,8,4,12
