"name","date","add","del","tot"
"DiegoRamirezFuente",2021-05-28 15:12:32,0,0,0
"Laura",2021-05-28 11:43:33,1695,1061,2756
"rodrimarvar",2021-04-26 16:43:18,104,0,104
"Gabi",2021-03-10 18:31:13,1,1,2
"gabrieltur",2021-03-10 12:42:05,1,0,1
