"name","date","add","del","tot"
"victorbarreralopez",2021-05-26 13:38:17,1241,551,1792
"jaime0010",2021-05-23 11:50:00,453,81,534
"AnaArroyo55130",2021-05-06 15:51:12,33,1,34
"Jorge-88",2021-03-31 22:53:13,13,7,20
"pedrogallardolozano",2021-03-15 23:24:31,1,0,1
"Pedrooo8",2021-03-10 19:28:40,1,1,2
