"name","date"
IkertxoGM,2019-05-20T21:35:05Z
IkertxoGM,2019-05-20T21:12:39Z
IkertxoGM,2019-05-20T21:11:44Z
IkertxoGM,2019-05-20T20:42:13Z
IkertxoGM,2019-05-20T20:41:32Z
IkertxoGM,2019-05-20T20:40:10Z
IkertxoGM,2019-05-20T18:50:35Z
cfrubio,2019-05-20T18:40:29Z
cfrubio,2019-05-20T18:26:41Z
cfrubio,2019-05-20T18:07:20Z
cfrubio,2019-05-20T18:05:01Z
cfrubio,2019-05-20T17:41:51Z
cfrubio,2019-05-20T17:40:08Z
cfrubio,2019-05-20T17:32:37Z
cfrubio,2019-05-20T17:28:12Z
cfrubio,2019-05-20T17:24:56Z
cfrubio,2019-05-20T17:20:41Z
cfrubio,2019-05-20T17:18:57Z
cfrubio,2019-05-20T17:16:38Z
cfrubio,2019-05-20T17:14:55Z
cfrubio,2019-05-20T17:12:42Z
cfrubio,2019-05-15T21:33:01Z
cfrubio,2019-05-15T21:18:47Z
cfrubio,2019-05-15T21:15:43Z
cfrubio,2019-05-15T21:10:34Z
cfrubio,2019-05-15T20:47:30Z
cfrubio,2019-05-15T20:47:13Z
cfrubio,2019-05-15T20:46:17Z
cfrubio,2019-05-15T20:45:28Z
cfrubio,2019-05-15T20:43:06Z
cfrubio,2019-05-15T20:39:06Z
cfrubio,2019-05-15T20:37:10Z
cfrubio,2019-05-15T20:33:40Z
cfrubio,2019-05-15T20:31:35Z
cfrubio,2019-05-15T20:24:54Z
cfrubio,2019-05-15T20:18:29Z
cfrubio,2019-05-15T20:14:27Z
cfrubio,2019-05-15T20:10:11Z
cfrubio,2019-05-15T20:06:40Z
IkertxoGM,2019-04-29T09:33:30Z
IkertxoGM,2019-04-29T09:13:49Z
cfrubio,2019-04-29T08:32:25Z
cfrubio,2019-04-29T08:27:06Z
cfrubio,2019-04-29T08:25:38Z
cfrubio,2019-04-29T08:12:30Z
cfrubio,2019-04-29T08:03:47Z
cfrubio,2019-04-24T10:18:20Z
IkertxoGM,2019-04-10T11:52:23Z
cfrubio,2019-04-10T11:13:33Z
IkertxoGM,2019-04-10T11:12:19Z
cfrubio,2019-04-10T11:11:24Z
IkertxoGM,2019-04-10T11:06:21Z
cfrubio,2019-04-10T10:57:23Z
IkertxoGM,2019-04-10T10:39:44Z
cfrubio,2019-04-03T11:49:02Z
IkertxoGM,2019-04-03T11:48:45Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:33:17Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:03:06Z
Oscar Perpiñán Lamigueiro,2019-02-23T13:00:11Z
