"name","date","add","del","tot"
"oscararrigo",2021-05-28 20:50:25,934,548,1482
"Nicolás Castro García",2021-05-28 17:06:19,3170,2940,6110
"xrubenruizx",2021-05-28 08:25:20,2343,1309,3652
