"name","date","add","del","tot"
"David2Santos",2021-05-27 20:37:11,268,241,509
"raquelclementebastante",2021-05-27 20:18:10,152,70,222
"AlvaroChS",2021-05-12 14:35:10,19,4,23
"danieldelacruzredondo",2021-05-10 13:20:19,73,0,73
"cbravosa",2021-04-05 07:19:10,1,1,2
