"name","date","add","del","tot"
"Manuel Sandin Moreno",2021-04-09 10:39:24,33,19,52
"manusandin",2021-04-09 10:07:26,53,18,71
"Cholis2020",2021-04-09 09:45:57,9,7,16
"alvaroorequenaa",2021-04-09 09:25:55,4,4,8
"HernanQuillere",2021-03-13 12:11:42,3,3,6
