"name","date","add","del","tot"
"Luislagu",2021-05-28 22:00:30,2033,1750,3783
"gonzalosta",2021-05-28 20:58:02,1537,732,2269
"alejandrobeltransuarez1",2021-05-28 19:45:12,1156,578,1734
