"name","date","add","del","tot"
"mloboo",2021-05-28 14:55:51,389,128,517
"zeqilin",2021-05-06 17:26:52,1681,29,1710
"PatrickCast",2021-03-15 20:03:16,3,1,4
"VALERIRAMIREZ",2021-03-15 09:11:09,2,1,3
"andresrosouto",2021-03-11 11:44:57,2,0,2
