"name","date","add","del","tot"
"GuillermoRosale5",2021-05-28 21:30:34,3316,368,3684
"DanielvanReenen",2021-04-11 09:48:37,3,2,5
"nataliarodriiguez",2021-04-11 09:46:25,1,0,1
"jmunozm2",2021-04-10 21:40:36,1,1,2
"Patriciopenalver",2021-04-10 11:51:07,2,0,2
"manusanchezf",2021-03-22 19:25:00,1,0,1
