"name","date","add","del","tot"
"pedro-alvarez-monteagudo",2021-04-17 10:11:24,0,0,0
"alvarogomez29",2021-03-30 18:40:19,78,41,119
"nuria0509",2021-03-30 18:13:16,5,8,13
"Mario.fernandez.lietor",2021-03-30 18:04:59,32,44,76
"alejandro-bonilla",2021-03-30 17:28:37,5,5,10
