"name","date","add","del","tot"
"DiegoBastida",2021-05-28 18:28:24,1351,794,2145
"ignaciocartes99",2021-05-28 18:22:57,538,169,707
"Diego Fernandes",2021-05-28 17:56:28,4890,1121,6011
"DiegoFernandesAlves",2021-04-08 14:48:46,121,70,191
