"name";"id";"repo_name";"slug";"nMembers";"members"
"BOOM!!";3695267;"twE105_1920-boom-1";"boom-1";3;"raquelcedazo, oscararrigo, hectordelsaz"
"CasTV";3695246;"twE105_1920-castv";"castv";4;"oscarperpinan, alejandro-valderrabano-sanchez, carlosperchin, Simkamenov"
"CryptoBank";3695271;"twE105_1920-cryptobank";"cryptobank";4;"raquelcedazo, abelbague, adiegor, jorgedemiguele"
"DonComedia";3695247;"twE105_1920-doncomedia";"doncomedia";4;"oscarperpinan, ivan8rbs, aitorchamorro, SamuelChillari"
"ESTARBAX";3693874;"twE105_1920-estarbax";"estarbax";4;"raquelcedazo, Joshgv25, solomiyahav, Eloy-Isidro"
"Engine_Failure_Corporation";3693953;"twE105_1920-engine_failure_corporation";"engine_failure_corporation";4;"oscarperpinan, adrifunes, Alonso55099, osamabouatman"
"GETBUS";3677026;"twE105_1920-getbus";"getbus";3;"oscarperpinan, raulcarrero, RodrigoMarquezB"
"Game_of_codes";3690889;"twE105_1920-game_of_codes";"game_of_codes";5;"oscarperpinan, hfranco47, sfonseca2019, cbestevez, xrubenruizx"
"Gran_Casino_Etsidi";3685383;"twE105_1920-gran_casino_etsidi";"gran_casino_etsidi";5;"raquelcedazo, idopazo, Ssanchez2002, Alvallcue, msanzp"
"Guerra_Naval";3694354;"twE105_1920-guerra_naval";"guerra_naval";3;"oscarperpinan, EnriqueMB2001, jhon7t"
"Informaticosas";3695250;"twE105_1920-informaticosas";"informaticosas";4;"raquelcedazo, Javs24, ignaciocartes99, valeriahernandobernabe"
"Los_Chispas";3690623;"twE105_1920-los_chispas";"los_chispas";5;"raquelcedazo, Enrique-MG, javierchaz234, davidbernaldo, pabloalonsodiaz"
"Los_otros";3690761;"twE105_1920-los_otros";"los_otros";5;"oscarperpinan, Christian7600, GilCarvalho55175, AlejandroDaSilva501, sergio-dp"
"REGULANDOLAVIDA";3695236;"twE105_1920-regulandolavida";"regulandolavida";5;"oscarperpinan, IrazuCalle, reginagomez, andreamartin09, lorenaeslo"
"SEGUNDO_INTENTO";3690751;"twE105_1920-segundo_intento";"segundo_intento";5;"oscarperpinan, adamelouadrari, abalao, jbustilloe, dalmarzag"
"Vitamina_C";3694308;"twE105_1920-vitamina_c";"vitamina_c";5;"raquelcedazo, Adriang2211, PedroLeon00, Emanuel151100, JorgeBarahonaMonte"
"ZoSo_GAMES";3695257;"twE105_1920-zoso_games";"zoso_games";5;"oscarperpinan, DavidBrianes, AngelFC89, Dionicaballero, DiegoBastida"
"check_in_time";3691245;"twE105_1920-check_in_time";"check_in_time";4;"oscarperpinan, nicoascastrogarcia, jorgeespigutierrez, RedBaronUPM"
