"name","date","add","del","tot"
"Azuazuazu",2021-05-28 21:32:44,1535,711,2246
"Sergio-MJ",2021-05-28 19:18:26,277,79,356
"juliamgy",2021-05-28 17:16:49,391,17,408
"FabioLebron",2021-05-28 17:11:12,201,273,474
"Julia",2021-05-27 20:20:34,445,73,518
"Azucena",2021-05-14 11:37:41,213,35,248
