"name","date","add","del","tot"
"Adrián Teixeira de Uña",2021-05-28 02:27:45,5519,3506,9025
"AdriTeixeHax",2021-05-28 02:23:05,3739,1013,4752
"Jorge Bachiller Cordero",2021-05-27 17:41:41,3648,2533,6181
"JorgeBachiller",2021-05-14 10:37:22,1,63,64
"matiaspolo",2021-04-02 11:06:16,88,4,92
"danielsotoaguilar",2021-03-15 09:54:56,1,0,1
