"name","date","add","del","tot"
"dcblasco",2021-05-28 17:29:01,991,171,1162
"Vegely",2021-05-26 09:14:30,41977,4570,46547
"JuanNicolasJimenez",2021-05-23 18:41:24,42193,2235,44428
"diego",2021-05-19 08:28:41,839,33,872
"diego22222",2021-05-16 22:33:53,67,2,69
