"name","date","add","del","tot"
"alejandrogomez27",2021-05-28 16:30:20,1460,795,2255
"zhiqinHU",2021-05-27 18:49:58,1453,629,2082
"Moiseees",2021-05-27 17:27:18,214,541,755
