"name","date","add","del","tot"
"Sergio Díaz-Maroto Lara",2021-05-27 16:53:30,4047,1692,5739
"Christian",2021-05-27 16:02:05,1322,142,1464
"Sergdml",2021-05-26 08:23:30,664017,666043,1330060
"rubencasstro",2021-05-17 12:01:36,2594,1449,4043
"Christian Alva Sarmiento",2021-04-03 17:33:28,43,7,50
"Sergio Díaz-Maroto",2021-03-09 20:30:07,1,1,2
