"name","date","add","del","tot"
"SergioGH-byte",2021-05-28 21:41:56,1143,0,1143
"elenadiezdeantonio",2021-05-28 15:56:10,2008,0,2008
"andrianadovhanych",2021-05-28 15:53:45,1110,42,1152
"remigg",2021-05-06 08:01:27,3,0,3
"SantiagoGarCubCarr",2021-05-06 07:57:36,9,7,16
"SaraAparicio22",2021-04-23 16:04:35,4,0,4
